t,j,m,price
2011/2012,11830150,USA,1.29645
2011/2012,11830160,USA,0.640461
2011/2012,11830170,USA,0.993016
2011/2012,11830210,USA,1.797478
2011/2012,11830260,USA,1.064774
2011/2012,11830400,USA,0.855005
2011/2012,12100100,USA,0.364647
2011/2012,12110100,USA,0.364647
2011/2012,12120100,USA,0.262962
2011/2012,12120105,USA,0.28981
2011/2012,12120110,USA,0.258954
2011/2012,12130100,USA,0.531349
2011/2012,12140000,USA,0.511908
2011/2012,12140100,USA,0.986082
2011/2012,12210200,USA,0.316187
2011/2012,12210210,USA,0.347439
2011/2012,12210250,USA,0.316187
2011/2012,12210255,USA,0.316187
2011/2012,12210260,USA,0.316187
2011/2012,12210270,USA,NA
2011/2012,12210310,USA,0.347439
2011/2012,12210400,USA,0.4466
2011/2012,12210410,USA,0.566171
2011/2012,12210420,USA,0.591978
2011/2012,12210430,USA,NA
2011/2012,12210440,USA,0.734782
2011/2012,12210505,USA,1.387777
2011/2012,12220200,USA,0.58185
2011/2012,12220250,USA,0.57574
2011/2012,12220270,USA,0.596254
2011/2012,12220280,USA,0.592774
2011/2012,12310100,USA,0.394469
2011/2012,12310300,USA,0.415584
2011/2012,12310350,USA,0.417718
2011/2012,12310370,USA,0.375717
2011/2012,12320100,USA,0.835343
2011/2012,12350000,USA,0.547787
2011/2012,12350100,USA,0.773962
2011/2012,12350110,USA,1.345074
2011/2012,13110000,USA,0.550122
2011/2012,13110100,USA,0.246691
2011/2012,13110110,USA,0.235786
2011/2012,13110120,USA,0.859126
2011/2012,13110130,USA,0.910635
2011/2012,13110200,USA,0.550122
2011/2012,13110320,USA,0.273928
2011/2012,13110330,USA,0.261174
2011/2012,13120050,USA,0.967588
2011/2012,13120100,USA,0.637278
2011/2012,13120110,USA,1.018555
2011/2012,13120120,USA,0.666805
2011/2012,13120121,USA,0.620556
2011/2012,13120130,USA,0.716106
2011/2012,13120140,USA,0.644351
2011/2012,13120300,USA,0.701674
2011/2012,13120310,USA,0.770965
2011/2012,13120400,USA,0.817958
2011/2012,13120500,USA,0.370301
2011/2012,13120550,USA,0.648611
2011/2012,13120700,USA,0.482151
2011/2012,13120710,USA,0.6684
2011/2012,13120720,USA,0.623987
2011/2012,13120730,USA,0.359791
2011/2012,13120750,USA,0.492426
2011/2012,13120770,USA,0.4238
2011/2012,13120790,USA,0.542181
2011/2012,13120800,USA,0.125458
2011/2012,13121100,USA,0.792523
2011/2012,13130300,USA,0.222221
2011/2012,13130310,USA,0.173078
2011/2012,13130330,USA,0.253849
2011/2012,13130340,USA,0.268695
2011/2012,13130600,USA,0.222221
2011/2012,13130610,USA,0.173078
2011/2012,13130620,USA,1.029829
2011/2012,13130700,USA,0.226781
2011/2012,13135000,USA,0.630582
2011/2012,13135010,USA,0.631099
2011/2012,13140100,USA,1.152334
2011/2012,13140500,USA,0.376353
2011/2012,13140700,USA,0.45494
2011/2012,13140900,USA,0.447329
2011/2012,13142000,USA,0.697897
2011/2012,13150000,USA,0.242611
2011/2012,13160160,USA,0.281
2011/2012,13160400,USA,0.320814
2011/2012,13161000,USA,0.697897
2011/2012,13161600,USA,0.58401
2011/2012,13161630,USA,0.555045
2011/2012,13200110,USA,0.56244
2011/2012,13210110,USA,0.542296
2011/2012,13210110,USA,NA
2011/2012,13210110,USA,NA
2011/2012,13210220,USA,0.317607
2011/2012,13210280,USA,0.323565
2011/2012,13210300,USA,0.599738
2011/2012,13210300,USA,0.142661
2011/2012,13210350,USA,0.634932
2011/2012,13210350,USA,0.13305
2011/2012,13210350,USA,0.135269
2011/2012,13210410,USA,0.456922
2011/2012,13220110,USA,0.323565
2011/2012,13220110,USA,0.262682
2011/2012,13230110,USA,0.323565
2011/2012,13230120,USA,0.434959
2011/2012,13230130,USA,0.317607
2011/2012,13230140,USA,0.532046
2011/2012,13230200,USA,0.315884
2011/2012,13230500,USA,0.363201
2011/2012,13250000,USA,NA
2011/2012,13250000,USA,0.483255
2011/2012,13250100,USA,NA
2011/2012,13252200,USA,0.768342
2011/2012,13252500,USA,0.449766
2011/2012,13252600,USA,1.87621
2011/2012,13411000,USA,1.085957
2011/2012,13412000,USA,0.376691
2011/2012,14010000,USA,0.951109
2011/2012,14101010,USA,2.325151
2011/2012,14102010,USA,1.744834
2011/2012,14103010,USA,2.752243
2011/2012,14103020,USA,2.112955
2011/2012,14104100,USA,1.052277
2011/2012,14104110,USA,1.254906
2011/2012,14104115,USA,NA
2011/2012,14104200,USA,1.019119
2011/2012,14104250,USA,1.076216
2011/2012,14104400,USA,1.779636
2011/2012,14104600,USA,2.338133
2011/2012,14104700,USA,2.749205
2011/2012,14105010,USA,1.748732
2011/2012,14105200,USA,3.760812
2011/2012,14106200,USA,1.039259
2011/2012,14106500,USA,1.121888
2011/2012,14107010,USA,1.361694
2011/2012,14107020,USA,1.128637
2011/2012,14107030,USA,1.019099
2011/2012,14107040,USA,NA
2011/2012,14107060,USA,NA
2011/2012,14107200,USA,1.200203
2011/2012,14107250,USA,NA
2011/2012,14108010,USA,1.487032
2011/2012,14108015,USA,0.931133
2011/2012,14108020,USA,2.194131
2011/2012,14108400,USA,1.268739
2011/2012,14108420,USA,NA
2011/2012,14109010,USA,1.280788
2011/2012,14109020,USA,NA
2011/2012,14109030,USA,NA
2011/2012,14109040,USA,NA
2011/2012,14110010,USA,NA
2011/2012,14120010,USA,1.014312
2011/2012,14120020,USA,NA
2011/2012,14131000,USA,1.139832
2011/2012,14131500,USA,1.01315
2011/2012,14133000,USA,0.922236
2011/2012,14134000,USA,1.209403
2011/2012,14200100,USA,0.632327
2011/2012,14201010,USA,0.461955
2011/2012,14201200,USA,1.183015
2011/2012,14201500,USA,0.518361
2011/2012,14203020,USA,0.456793
2011/2012,14203510,USA,1.094089
2011/2012,14204010,USA,0.480984
2011/2012,14204020,USA,0.425298
2011/2012,14301010,USA,0.722197
2011/2012,14303010,USA,0.730023
2011/2012,14410100,USA,1.637238
2011/2012,14410110,USA,0.726298
2011/2012,14410120,USA,NA
2011/2012,14410130,USA,NA
2011/2012,14410210,USA,NA
2011/2012,14410330,USA,0.89283
2011/2012,14410380,USA,0.730023
2011/2012,14410500,USA,1.623775
2011/2012,14410600,USA,NA
2011/2012,14420100,USA,0.836052
2011/2012,14420160,USA,1.680504
2011/2012,14420200,USA,0.917949
2011/2012,14420210,USA,NA
2011/2012,14502000,USA,0.992606
2011/2012,14610520,USA,1.254276
2011/2012,14620100,USA,0.647751
2011/2012,14620120,USA,1.177829
2011/2012,14620150,USA,0.748919
2011/2012,14620200,USA,0.96936
2011/2012,14640000,USA,0.450144
2011/2012,14650100,USA,0.505676
2011/2012,14650160,USA,0.491343
2011/2012,14660200,USA,0.795971
2011/2012,14710100,USA,0.282307
2011/2012,14710200,USA,0.699768
2011/2012,2.00E+07,USA,1.641869
2011/2012,21000100,USA,1.770084
2011/2012,21000120,USA,1.816861
2011/2012,21003000,USA,1.770084
2011/2012,21101000,USA,1.278909
2011/2012,21101020,USA,1.329919
2011/2012,21101110,USA,1.278909
2011/2012,21101120,USA,1.278909
2011/2012,21101130,USA,1.329919
2011/2012,21102110,USA,1.278909
2011/2012,21102120,USA,1.278909
2011/2012,21102130,USA,1.329919
2011/2012,21103110,USA,NA
2011/2012,21103120,USA,NA
2011/2012,21103130,USA,NA
2011/2012,21104110,USA,NA
2011/2012,21105120,USA,1.278909
2011/2012,21105130,USA,1.329919
2011/2012,21301000,USA,NA
2011/2012,21304110,USA,NA
2011/2012,21304120,USA,NA
2011/2012,21304210,USA,0.832772
2011/2012,21401000,USA,1.18871
2011/2012,21401110,USA,1.18871
2011/2012,21401120,USA,1.484553
2011/2012,21407000,USA,1.189095
2011/2012,21407120,USA,1.322448
2011/2012,21416000,USA,NA
2011/2012,21416120,USA,NA
2011/2012,21416150,USA,1.287346
2011/2012,21417100,USA,1.700747
2011/2012,21417110,USA,1.700747
2011/2012,21417120,USA,2.048103
2011/2012,21420100,USA,1.508579
2011/2012,21500100,USA,1.038465
2011/2012,21500300,USA,1.038465
2011/2012,21501000,USA,NA
2011/2012,21501200,USA,1.061072
2011/2012,21501300,USA,NA
2011/2012,21501350,USA,NA
2011/2012,21501360,USA,NA
2011/2012,21540100,USA,1.023687
2011/2012,21601000,USA,NA
2011/2012,21602100,USA,3.178526
2011/2012,21603000,USA,1.35793
2011/2012,21701010,USA,1.271909
2011/2012,22000100,USA,NA
2011/2012,22000120,USA,1.243991
2011/2012,22001000,USA,0.955699
2011/2012,22002000,USA,0.983924
2011/2012,22002100,USA,NA
2011/2012,22002800,USA,3.965342
2011/2012,22101000,USA,1.627477
2011/2012,22101110,USA,1.664062
2011/2012,22101120,USA,1.243991
2011/2012,22101150,USA,1.223947
2011/2012,22101210,USA,1.16609
2011/2012,22101220,USA,1.403874
2011/2012,22101310,USA,NA
2011/2012,22101320,USA,NA
2011/2012,22101520,USA,1.403874
2011/2012,22107000,USA,1.383502
2011/2012,22107010,USA,1.383502
2011/2012,22107020,USA,1.634261
2011/2012,22201120,USA,1.701322
2011/2012,22201220,USA,1.701322
2011/2012,22210400,USA,1.821778
2011/2012,22300140,USA,NA
2011/2012,22311000,USA,1.083803
2011/2012,22311010,USA,NA
2011/2012,22311020,USA,NA
2011/2012,22311450,USA,4.015642
2011/2012,22311500,USA,0.76072
2011/2012,22400100,USA,1.266538
2011/2012,22400110,USA,1.217051
2011/2012,22400120,USA,NA
2011/2012,22421020,USA,NA
2011/2012,22501010,USA,1.830497
2011/2012,22600100,USA,2.368144
2011/2012,22600200,USA,2.368144
2011/2012,22601000,USA,2.111296
2011/2012,22601040,USA,2.368144
2011/2012,22621000,USA,0.998054
2011/2012,22701000,USA,1.10912
2011/2012,22701010,USA,1.898735
2011/2012,22701020,USA,2.276739
2011/2012,22701030,USA,0.907635
2011/2012,22701040,USA,1.345955
2011/2012,22701050,USA,3.064489
2011/2012,22704010,USA,2.36132
2011/2012,22705010,USA,NA
2011/2012,22706010,USA,1.455083
2011/2012,22707010,USA,3.662119
2011/2012,22708010,USA,NA
2011/2012,22709010,USA,1.511578
2011/2012,22709110,USA,NA
2011/2012,22810010,USA,1.420615
2011/2012,23000100,USA,3.808638
2011/2012,23101020,USA,NA
2011/2012,23150100,USA,NA
2011/2012,23220030,USA,NA
2011/2012,23321100,USA,NA
2011/2012,23321200,USA,NA
2011/2012,23321900,USA,4.573779
2011/2012,23322100,USA,NA
2011/2012,23326100,USA,2.943393
2011/2012,24100000,USA,0.894142
2011/2012,24102000,USA,1.233162
2011/2012,24102010,USA,NA
2011/2012,24102020,USA,0.935694
2011/2012,24103020,USA,0.935694
2011/2012,24104000,USA,1.5016
2011/2012,24104000,USA,0.880406
2011/2012,24104000,USA,0.883738
2011/2012,24107000,USA,0.442695
2011/2012,24120100,USA,0.904403
2011/2012,24120120,USA,0.935524
2011/2012,24122100,USA,1.077734
2011/2012,24122110,USA,NA
2011/2012,24122120,USA,1.108121
2011/2012,24123110,USA,NA
2011/2012,24123120,USA,0.932829
2011/2012,24124110,USA,0.935694
2011/2012,24124110,USA,0.959833
2011/2012,24124120,USA,0.935694
2011/2012,24124120,USA,0.971581
2011/2012,24127110,USA,0.442695
2011/2012,24127110,USA,0.806792
2011/2012,24127120,USA,0.442695
2011/2012,24127130,USA,0.442695
2011/2012,24127135,USA,0.623514
2011/2012,24127140,USA,0.442695
2011/2012,24127150,USA,0.442695
2011/2012,24127150,USA,0.809403
2011/2012,24127150,USA,0.794736
2011/2012,24130200,USA,0.47192
2011/2012,24132200,USA,0.642873
2011/2012,24132210,USA,0.63828
2011/2012,24132220,USA,0.710418
2011/2012,24137210,USA,1.402571
2011/2012,24142210,USA,NA
2011/2012,24142220,USA,0.659891
2011/2012,24143210,USA,NA
2011/2012,24143220,USA,0.659891
2011/2012,24144210,USA,NA
2011/2012,24144210,USA,NA
2011/2012,24144220,USA,0.799046
2011/2012,24144220,USA,0.70825
2011/2012,24147210,USA,1.402571
2011/2012,24147210,USA,NA
2011/2012,24147210,USA,NA
2011/2012,24147220,USA,1.402571
2011/2012,24147220,USA,0.70825
2011/2012,24147230,USA,1.402571
2011/2012,24147235,USA,1.402571
2011/2012,24147250,USA,1.402571
2011/2012,24147250,USA,0.645904
2011/2012,24152210,USA,0.591803
2011/2012,24152220,USA,0.660847
2011/2012,24153220,USA,0.660847
2011/2012,24154210,USA,0.591803
2011/2012,24154210,USA,0.700602
2011/2012,24154220,USA,NA
2011/2012,24154220,USA,0.727693
2011/2012,24157210,USA,0.442695
2011/2012,24157210,USA,0.602964
2011/2012,24157230,USA,0.442695
2011/2012,24157235,USA,0.676339
2011/2012,24157240,USA,0.647132
2011/2012,24157250,USA,NA
2011/2012,24160100,USA,1.730871
2011/2012,24162110,USA,1.271949
2011/2012,24162120,USA,1.420344
2011/2012,24164110,USA,1.271949
2011/2012,24164110,USA,1.245749
2011/2012,24164120,USA,1.052106
2011/2012,24164120,USA,1.453446
2011/2012,24167110,USA,1.800727
2011/2012,24167110,USA,0.985098
2011/2012,24167130,USA,1.800727
2011/2012,24167135,USA,2.475999
2011/2012,24198690,USA,0.773863
2011/2012,24198700,USA,0.772848
2011/2012,24198720,USA,1.108945
2011/2012,24198730,USA,NA
2011/2012,24198740,USA,0.640998
2011/2012,24201000,USA,1.070869
2011/2012,24201010,USA,1.109727
2011/2012,24201020,USA,3.1168
2011/2012,24201050,USA,1.012702
2011/2012,24201050,USA,1.011816
2011/2012,24201110,USA,1.180442
2011/2012,24201120,USA,0.958926
2011/2012,24201130,USA,NA
2011/2012,24201310,USA,1.379479
2011/2012,24201320,USA,NA
2011/2012,24201350,USA,0.995309
2011/2012,24202450,USA,1.784031
2011/2012,24202600,USA,NA
2011/2012,24203010,USA,NA
2011/2012,24204000,USA,1.393673
2011/2012,24207000,USA,1.279364
2011/2012,24208500,USA,2.600376
2011/2012,24301000,USA,2.781637
2011/2012,24302010,USA,4.114646
2011/2012,24403100,USA,1.979811
2011/2012,24701010,USA,1.374893
2011/2012,24703010,USA,1.390339
2011/2012,25110140,USA,1.244216
2011/2012,25110420,USA,0.326638
2011/2012,25110450,USA,NA
2011/2012,25112200,USA,2.399938
2011/2012,25130000,USA,NA
2011/2012,25150000,USA,NA
2011/2012,25160000,USA,NA
2011/2012,25170210,USA,0.655796
2011/2012,25170310,USA,NA
2011/2012,25170420,USA,0.658804
2011/2012,25210110,USA,0.59369
2011/2012,25210210,USA,0.871694
2011/2012,25210220,USA,0.868594
2011/2012,25210280,USA,0.398206
2011/2012,25210310,USA,0.361073
2011/2012,25210410,USA,0.534109
2011/2012,25220010,USA,0.921265
2011/2012,25220105,USA,0.835685
2011/2012,25220150,USA,0.8262
2011/2012,25220210,USA,1.323589
2011/2012,25220350,USA,0.735616
2011/2012,25220360,USA,0.736138
2011/2012,25220390,USA,NA
2011/2012,25220400,USA,0.446215
2011/2012,25220410,USA,0.48728
2011/2012,25220420,USA,1.155568
2011/2012,25220430,USA,NA
2011/2012,25220440,USA,0.473234
2011/2012,25220460,USA,NA
2011/2012,25220470,USA,NA
2011/2012,25220500,USA,NA
2011/2012,25220650,USA,0.481393
2011/2012,25220710,USA,0.809421
2011/2012,25220910,USA,1.214356
2011/2012,25221210,USA,NA
2011/2012,25221250,USA,1.527554
2011/2012,25221310,USA,0.573489
2011/2012,25221350,USA,0.837662
2011/2012,25221400,USA,NA
2011/2012,25221405,USA,0.781942
2011/2012,25221406,USA,NA
2011/2012,25221460,USA,0.730028
2011/2012,25221500,USA,0.61999
2011/2012,25221530,USA,3.604536
2011/2012,25221610,USA,0.60055
2011/2012,25221810,USA,0.932002
2011/2012,25221830,USA,0.869485
2011/2012,25221860,USA,0.869485
2011/2012,25221870,USA,0.691872
2011/2012,25221880,USA,0.642056
2011/2012,25221910,USA,0.409349
2011/2012,25221950,USA,2.006735
2011/2012,25230110,USA,0.885437
2011/2012,25230210,USA,0.966493
2011/2012,25230220,USA,NA
2011/2012,25230230,USA,NA
2011/2012,25230235,USA,NA
2011/2012,25230310,USA,0.889332
2011/2012,25230430,USA,0.64243
2011/2012,25230510,USA,0.674541
2011/2012,25230530,USA,0.759039
2011/2012,25230540,USA,0.769762
2011/2012,25230550,USA,NA
2011/2012,25230560,USA,0.777219
2011/2012,25230610,USA,NA
2011/2012,25230790,USA,NA
2011/2012,25230800,USA,0.721071
2011/2012,25230820,USA,1.221797
2011/2012,25230840,USA,NA
2011/2012,25230900,USA,1.085757
2011/2012,25230905,USA,NA
2011/2012,25231110,USA,1.567434
2011/2012,25240000,USA,1.421237
2011/2012,25240110,USA,0.815755
2011/2012,25240220,USA,0.821706
2011/2012,25240310,USA,1.171766
2011/2012,26100100,USA,1.063691
2011/2012,26100110,USA,NA
2011/2012,26100120,USA,NA
2011/2012,26100140,USA,NA
2011/2012,26100143,USA,NA
2011/2012,26100160,USA,1.182978
2011/2012,26100170,USA,NA
2011/2012,26100190,USA,NA
2011/2012,26100270,USA,0.74051
2011/2012,26101110,USA,6.911394
2011/2012,26101180,USA,4.081238
2011/2012,26105160,USA,0.770212
2011/2012,26107110,USA,NA
2011/2012,26107120,USA,0.997961
2011/2012,26107130,USA,NA
2011/2012,26107140,USA,NA
2011/2012,26107160,USA,NA
2011/2012,26109110,USA,1.668904
2011/2012,26109120,USA,1.668904
2011/2012,26109130,USA,NA
2011/2012,26109140,USA,NA
2011/2012,26109143,USA,NA
2011/2012,26109160,USA,1.175857
2011/2012,26109170,USA,0.913576
2011/2012,26111121,USA,1.146496
2011/2012,26115110,USA,NA
2011/2012,26115120,USA,1.189397
2011/2012,26115140,USA,NA
2011/2012,26115160,USA,1.25787
2011/2012,26115190,USA,1.405232
2011/2012,26117110,USA,1.544199
2011/2012,26117120,USA,1.544199
2011/2012,26117130,USA,NA
2011/2012,26117140,USA,NA
2011/2012,26119110,USA,1.585234
2011/2012,26119190,USA,1.92101
2011/2012,26121110,USA,1.970003
2011/2012,26125110,USA,1.83685
2011/2012,26125130,USA,NA
2011/2012,26125140,USA,NA
2011/2012,26131110,USA,2.303273
2011/2012,26131120,USA,2.303273
2011/2012,26131160,USA,2.806835
2011/2012,26131190,USA,NA
2011/2012,26133110,USA,2.611364
2011/2012,26137100,USA,1.683586
2011/2012,26137110,USA,2.087393
2011/2012,26137120,USA,2.087393
2011/2012,26137121,USA,2.088736
2011/2012,26137123,USA,2.134238
2011/2012,26137130,USA,NA
2011/2012,26137160,USA,2.119384
2011/2012,26137170,USA,9.075722
2011/2012,26137180,USA,1.191844
2011/2012,26137190,USA,3.553813
2011/2012,26139110,USA,0.69929
2011/2012,26139180,USA,1.324398
2011/2012,26141160,USA,NA
2011/2012,26143160,USA,NA
2011/2012,26149110,USA,3.209539
2011/2012,26149120,USA,3.209539
2011/2012,26149160,USA,NA
2011/2012,26151110,USA,2.675654
2011/2012,26151140,USA,NA
2011/2012,26151143,USA,NA
2011/2012,26151160,USA,1.395879
2011/2012,26151190,USA,4.109123
2011/2012,26153100,USA,1.876399
2011/2012,26153110,USA,2.323257
2011/2012,26153120,USA,2.323257
2011/2012,26153160,USA,1.716464
2011/2012,26155110,USA,1.843114
2011/2012,26157110,USA,NA
2011/2012,26157130,USA,NA
2011/2012,26157140,USA,NA
2011/2012,26158000,USA,1.06508
2011/2012,26158010,USA,1.06508
2011/2012,26158013,USA,1.081758
2011/2012,26158020,USA,NA
2011/2012,26158023,USA,NA
2011/2012,26158030,USA,NA
2011/2012,26158033,USA,NA
2011/2012,26158050,USA,0.861051
2011/2012,26203110,USA,NA
2011/2012,26205110,USA,NA
2011/2012,26211100,USA,4.122537
2011/2012,26213100,USA,1.259052
2011/2012,26213120,USA,1.528866
2011/2012,26213140,USA,NA
2011/2012,26213160,USA,2.50944
2011/2012,26213170,USA,3.960456
2011/2012,26303100,USA,6.31766
2011/2012,26303110,USA,7.562261
2011/2012,26303160,USA,6.555494
2011/2012,26305110,USA,NA
2011/2012,26305130,USA,NA
2011/2012,26305160,USA,3.641862
2011/2012,26305180,USA,2.40437
2011/2012,26309140,USA,NA
2011/2012,26309160,USA,6.978087
2011/2012,26311110,USA,NA
2011/2012,26311120,USA,8.41875
2011/2012,26313110,USA,NA
2011/2012,26313160,USA,2.464066
2011/2012,26315100,USA,2.37983
2011/2012,26315190,USA,2.663309
2011/2012,26317110,USA,3.093855
2011/2012,26317120,USA,3.093855
2011/2012,26317130,USA,2.048669
2011/2012,26317160,USA,NA
2011/2012,26319110,USA,NA
2011/2012,26319120,USA,2.411987
2011/2012,26319121,USA,2.418558
2011/2012,26319123,USA,2.468775
2011/2012,26319130,USA,NA
2011/2012,26319140,USA,NA
2011/2012,26319145,USA,1.901869
2011/2012,26319160,USA,NA
2011/2012,26319170,USA,5.833302
2011/2012,27111000,USA,0.684872
2011/2012,27111050,USA,1.042939
2011/2012,27111200,USA,NA
2011/2012,27111300,USA,NA
2011/2012,27111400,USA,0.472183
2011/2012,27111410,USA,0.324989
2011/2012,27111420,USA,0.404762
2011/2012,27111440,USA,0.398398
2011/2012,27111500,USA,0.632073
2011/2012,27112000,USA,NA
2011/2012,27112010,USA,0.406317
2011/2012,27113100,USA,NA
2011/2012,27115000,USA,1.004771
2011/2012,27116100,USA,0.587535
2011/2012,27116200,USA,1.19941
2011/2012,27120030,USA,1.072886
2011/2012,27120060,USA,0.871473
2011/2012,27120120,USA,0.39265
2011/2012,27120120,USA,0.342206
2011/2012,27120120,USA,0.271592
2011/2012,27120150,USA,1.086797
2011/2012,27120210,USA,0.49916
2011/2012,27121410,USA,0.456176
2011/2012,27130100,USA,0.811988
2011/2012,27141000,USA,0.756842
2011/2012,27141030,USA,0.455831
2011/2012,27141500,USA,0.521893
2011/2012,27144000,USA,0.725736
2011/2012,27145000,USA,1.013596
2011/2012,27146000,USA,0.731994
2011/2012,27146010,USA,0.839877
2011/2012,27146050,USA,1.623663
2011/2012,27146100,USA,0.871473
2011/2012,27146110,USA,0.96284
2011/2012,27146150,USA,0.373948
2011/2012,27146160,USA,0.859098
2011/2012,27146250,USA,1.273447
2011/2012,27146300,USA,0.490575
2011/2012,27146300,USA,NA
2011/2012,27146350,USA,1.04063
2011/2012,27146360,USA,0.91381
2011/2012,27146400,USA,1.226768
2011/2012,27148010,USA,0.701839
2011/2012,27150110,USA,3.09077
2011/2012,27150190,USA,0.795974
2011/2012,27150210,USA,0.686664
